Variable Name,Data Type,Response Type,Levels (if applicable),Description,Data Cleaning Instructions
age,numeric,text entry (num only),,Participant's age in years (self-report),retain
gender,integer,discrete choice,1 = male; 2 = female; 3 = other,Participant's gender (self-report),retain
education,integer,discrete choice,1 = high school; 2 = some college; 3 = associate's degree; 4 = bachelor's degree; 5 = master's degree; 6 = professional degree or doctorate,Higest level of education completed by participant (self-report),retain
collegeMajor_1_TEXT,string,text entry,,"Participant's primary college major, if applicable (self-report)","retain; default response == ""(Not applicable)"""
collegeMajor_2_TEXT,string,text entry,,"Participant's secondary college major, if applicable (self-report)","retain; default response == ""(Not applicable)"""
collegeMinor_1_TEXT,string,text entry,,"Participant's primary college minor, if applicable (self-report)","retain; default response == ""(Not applicable)"""
collegeMinor_2_TEXT,string,text entry,,"Participant's secondary college minor, if applicable (self-report)","retain; default response == ""(Not applicable)"""
occupation,string,text entry,,Participant's occupation (self-report),retain
englishProficency,integer,discrete choice,1 = no proficiency; 2 = elementary proficiency; 3 = limited working proficiency; 4 = professional working proficiency; 5 = full professional proficiency; 6 = native or bilingual proficiency,Participant's proficiency with written English (self-report),retain
otherLangProficiency_1,integer,discrete choice,1 = no proficiency; 2 = elementary proficiency; 3 = limited working proficiency; 4 = professional working proficiency; 5 = full professional proficiency; 6 = native or bilingual proficiency,Participant's proficency with written language indicated by otherLangProficiency_1_TEXT (self-report),retain if not blank
otherLangProficiency_1_TEXT,string,text entry,,"Other language 1, with which participant has some proficiency (self-report)",retain if not blank
otherLangProficiency_2,integer,discrete choice,1 = no proficiency; 2 = elementary proficiency; 3 = limited working proficiency; 4 = professional working proficiency; 5 = full professional proficiency; 6 = native or bilingual proficiency,Participant's proficency with written language indicated by otherLangProficiency_2_TEXT (self-report),retain if not blank
otherLangProficiency_2_TEXT,string,text entry,,"Other language 2, with which participant has some proficiency (self-report)",retain if not blank
otherLangProficiency_3,integer,discrete choice,1 = no proficiency; 2 = elementary proficiency; 3 = limited working proficiency; 4 = professional working proficiency; 5 = full professional proficiency; 6 = native or bilingual proficiency,Participant's proficency with written language indicated by otherLangProficiency_3_TEXT (self-report),retain if not blank
otherLangProficiency_3_TEXT,string,text entry,,"Other language 3, with which participant has some proficiency (self-report)",retain if not blank
otherLangProficiency_4,integer,discrete choice,1 = no proficiency; 2 = elementary proficiency; 3 = limited working proficiency; 4 = professional working proficiency; 5 = full professional proficiency; 6 = native or bilingual proficiency,Participant's proficency with written language indicated by otherLangProficiency_4_TEXT (self-report),retain if not blank
otherLangProficiency_4_TEXT,string,text entry,,"Other language 4, with which participant has some proficiency (self-report)",retain if not blank
otherLangProficiency_5,integer,discrete choice,1 = no proficiency; 2 = elementary proficiency; 3 = limited working proficiency; 4 = professional working proficiency; 5 = full professional proficiency; 6 = native or bilingual proficiency,Participant's proficency with written language indicated by otherLangProficiency_5_TEXT (self-report),retain if not blank
otherLangProficiency_5_TEXT,string,text entry,,"Other language 5, with which participant has some proficiency (self-report)",retain if not blank
otherLangProficiency_6,integer,discrete choice,1 = no proficiency; 2 = elementary proficiency; 3 = limited working proficiency; 4 = professional working proficiency; 5 = full professional proficiency; 6 = native or bilingual proficiency,Participant's proficency with written language indicated by otherLangProficiency_6_TEXT (self-report),retain if not blank
otherLangProficiency_6_TEXT,string,text entry,,"Other language 6, with which participant has some proficiency (self-report)",retain if not blank
enjoy_logicProbs,integer,7-pt. Likert,1 = not at all enjoyable; 2 = a little bit enjoyable; 3 = slightly enjoyable; 4 = somewhat enjoyable; 5 = quite enjoyable; 6 = very enjoyable; 7 = extrememly enjoyable,The degree to which the participant finds logic problems enjoyable (self-report),retain
enjoy_numProbs,integer,7-pt. Likert,1 = not at all enjoyable; 2 = a little bit enjoyable; 3 = slightly enjoyable; 4 = somewhat enjoyable; 5 = quite enjoyable; 6 = very enjoyable; 7 = extrememly enjoyable,The degree to which the participant finds number problems enjoyable (self-report),retain
willing_teamLead,integer,binary,0 = not willing; 1 = willing,Binary indicator or whether participant would be willing to volunteer as a team leader in CREATE (not displayed to mTurk participants),delete
expertise_1,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""mathematics, generally"" (self-report)",retain
expertise_2,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""quantitative modeling, simulation"" (self-report)",retain
expertise_3,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""statistics"" (self-report)",retain
expertise_4,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""probability"" (self-report)",retain
expertise_5,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""Bayes nets"" (self-report)",retain
expertise_6,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""programming"" (self-report)",retain
expertise_7,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""experimental design"" (self-report)",retain
expertise_8,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""risk analysis"" (self-report)",retain
expertise_9,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""forecasting"" (self-report)",retain
expertise_10,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""decision theory (e.g., multi-attribute utility theory)"" (self-report)",retain
expertise_11,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""game theory"" (self-report)",retain
expertise_12,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""structured analytical techniques"" (self-report)",retain
expertise_13,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""argument mapping"" (self-report)",retain
expertise_14,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""informal logic"" (self-report)",retain
expertise_15,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""systems thinking or cognitive mapping"" (self-report)",retain
expertise_16,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""image analysis"" (self-report)",retain
expertise_17,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""link analysis"" (self-report)",retain
expertise_18,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""graphic design"" (self-report)",retain
expertise_19,integer,discrete choice,"1 = not familiar with this domain; 2 = studied in school, but don't use it; 3 = use this knowledge ocassionally; 4 = use this knowledge regularly; 5 = I am a recognized expert; 7 = I am an international authority","Participant's expertise with ""technical writing"" (self-report)",retain
probReas_1,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 3
probReas_2,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 2
probReas_3,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 1
probReas_4,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 3
probReas_5,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 2
probReas_6,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 3
probReas_7,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 2
probReas_8,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 3
probReas_9,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 1
probReas_10,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 1
probReas_11,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 3
probReas_12,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 1
probReas_13,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 3
probReas_table,integre,missing/non-missing,1 = question displayed; missing = question not displayed,Decriptive text and table providing data pertinent to Probabilitic Reasoning problems 14-16,delete
probReas_14,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 1
probReas_15,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 3
probReas_16,integer,discrete choice,,Participant's choice on Probabilitic Reasoning problem 1,retain; correct answer == 2
probReas_time_1,numeric,metadata,,Seconds elapsed before first click on Probabilistic Reasoning page,retain
probReas_time_2,numeric,metadata,,Seconds elapsed before final click on Probabilistic Reasoning page,retain
probReas_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Probabilistic Reasoning page,retain
probReas_time_4,integer,metadata,,Total number of clicks while viewing Probabilistic Reasoning page,retain
matrix_inst,integer,missing/non-missing,1 = question displayed; missing = question not displayed,Descriptive text providing instructions for ICAR Matrix Reasoning task,delete
matrix_1,integer,discrete choice,1 = A; 2 = B; 3 = C; 4 = D; 5 = E; 6 = F,Participant's choice on Matrix Reasoning problem 1,retain; correct answer ==
matrix_1_time_1,numeric,metadata,,Seconds elapsed before first click on Matrix Reasoning problem 1 page,retain
matrix_1_time_2,numeric,metadata,,Seconds elapsed before final click on Matrix Reasoning problem 1 page,retain
matrix_1_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Matrix Reasoning problem 1 page,retain
matrix_1_time_4,integer,metadata,,Total number of clicks while viewing Matrix Reasoning problem 1 page,retain
matrix_2,integer,discrete choice,1 = A; 2 = B; 3 = C; 4 = D; 5 = E; 6 = F,Participant's choice on Matrix Reasoning problem 2,retain; correct answer ==
matrix_2_time_1,numeric,metadata,,Seconds elapsed before first click on Matrix Reasoning problem 2 page,retain
matrix_2_time_2,numeric,metadata,,Seconds elapsed before final click on Matrix Reasoning problem 2 page,retain
matrix_2_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Matrix Reasoning problem 2 page,retain
matrix_2_time_4,integer,metadata,,Total number of clicks while viewing Matrix Reasoning problem 2 page,retain
matrix_3,integer,discrete choice,1 = A; 2 = B; 3 = C; 4 = D; 5 = E; 6 = F,Participant's choice on Matrix Reasoning problem 3,retain; correct answer ==
matrix_3_time_1,numeric,metadata,,Seconds elapsed before first click on Matrix Reasoning problem 3 page,retain
matrix_3_time_2,numeric,metadata,,Seconds elapsed before final click on Matrix Reasoning problem 3 page,retain
matrix_3_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Matrix Reasoning problem 3 page,retain
matrix_3_time_4,integer,metadata,,Total number of clicks while viewing Matrix Reasoning problem 3 page,retain
matrix_4,integer,discrete choice,1 = A; 2 = B; 3 = C; 4 = D; 5 = E; 6 = F,Participant's choice on Matrix Reasoning problem 4,retain; correct answer ==
matrix_4_time_1,numeric,metadata,,Seconds elapsed before first click on Matrix Reasoning problem 4 page,retain
matrix_4_time_2,numeric,metadata,,Seconds elapsed before final click on Matrix Reasoning problem 4 page,retain
matrix_4_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Matrix Reasoning problem 4 page,retain
matrix_4_time_4,integer,metadata,,Total number of clicks while viewing Matrix Reasoning problem 4 page,retain
matrix_5,integer,discrete choice,1 = A; 2 = B; 3 = C; 4 = D; 5 = E; 6 = F,Participant's choice on Matrix Reasoning problem 5,retain; correct answer ==
matrix_5_time_1,numeric,metadata,,Seconds elapsed before first click on Matrix Reasoning problem 5 page,retain
matrix_5_time_2,numeric,metadata,,Seconds elapsed before final click on Matrix Reasoning problem 5 page,retain
matrix_5_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Matrix Reasoning problem 5 page,retain
matrix_5_time_4,integer,metadata,,Total number of clicks while viewing Matrix Reasoning problem 5 page,retain
