user_id,block,cond,team,requested_avatar,age,gender,education,college_major,occupation,team_lead,country_reside,country_reside_years,country_longest,fluent_english,languages_primary,languages_2,languages_3,languages_4,languages_5,languages_6,languages_7,enjoy_logic_probs,enjoy_num_probs,expertise_math,expertise_quant_model,expertise_stats,expertise_prob,expertise_bayes_net,expertise_programming,expertise_exp_design,expertise_risk_analysis,expertise_forecasting,expertise_dec_theory,expertise_game_theory,expertise_sats,expertise_arg_map,expertise_inf_logic,expertise_sys_think,expertise_image_analysis,expertise_link_analysis,expertise_graphic_design,expertise_tech_writing,matrix_1,matrix_2,matrix_3,matrix_4,matrix_5,matrix_6,matrix_7,matrix_8,matrix_9,matrix_10,matrix_11,matrix_12,matrix_13,matrix_14,matrix_15,matrix_16,matrix_17,matrix_18,matrix_19,matrix_20,score_matrix,prob_reas_1,prob_reas_2,prob_reas_3,prob_reas_4,prob_reas_5,prob_reas_6,prob_reas_7,prob_reas_8,prob_reas_9,prob_reas_10,prob_reas_11,prob_reas_12,prob_reas_13,prob_reas_14,prob_reas_15,prob_reas_16,score_prob_reas,numberseries_1,numberseries_2,numberseries_3,numberseries_4,numberseries_5,numberseries_6,numberseries_7,numberseries_8,numberseries_9,numberseries_10,numberseries_11,numberseries_12,numberseries_13,score_numberseries,letterseries_1,letterseries_2,letterseries_3,letterseries_4,letterseries_5,letterseries_6,letterseries_7,letterseries_8,letterseries_9,letterseries_10,letterseries_11,letterseries_12,letterseries_13,score_letterseries,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,score_crt,numeracy_1,numeracy_2,numeracy_3,numeracy_4,score_numeracy,aomt_1,aomt_2,aomt_3,aomt_4,aomt_4_rev,aomt_5,aomt_5_rev,aomt_6,aomt_6_rev,aomt_7,aomt_7_rev,aomt_8,aomt_9,aomt_9_rev,aomt_10,aomt_11,score_aomt,nfcog_1,nfcog_2,nfcog_3,nfcog_3_rev,nfcog_4,nfcog_4_rev,nfcog_5,nfcog_5_rev,nfcog_6,nfcog_7,nfcog_7_rev,nfcog_8_rev,nfcog_8,nfcog_9,nfcog_9_rev,nfcog_10,nfcog_11,nfcog_12,nfcog_12_rev,nfcog_13,nfcog_14,nfcog_15,nfcog_16,nfcog_16_rev,nfcog_17,nfcog_17_rev,nfcog_18,score_nfcog,bfi_1,bfi_2,bfi_3,bfi_4,bfi_5,bfi_6,bfi_7,bfi_8,bfi_9,bfi_10,bfi_1_rev,bfi_3_rev,bfi_4_rev,bfi_5_rev,bfi_7_rev,score_bfi_openness,score_bfi_conscientiousness,score_bfi_extraversion,score_bfi_agreeableness,score_bfi_neuroticism,toa_1,toa_2,toa_2_rev,toa_3,toa_4,toa_4_rev,toa_5,toa_6,toa_6_rev,toa_7,toa_8,toa_8_rev,toa_9,toa_10,toa_10_rev,toa_11,toa_12,toa_12_rev,toa_13,toa_14,toa_14_rev,toa_15,toa_16,toa_16_rev,score_toa_novelty,score_toa_complexity,score_toa_insolubility,svo_1,svo_2,svo_3,svo_4,svo_5,svo_6,svo_7,svo_8,svo_9,svo_10,svo_11,svo_12,svo_13,svo_14,svo_15,svo_1_self,svo_2_self,svo_3_self,svo_4_self,svo_5_self,svo_6_self,svo_7_self,svo_8_self,svo_9_self,svo_10_self,svo_11_self,svo_12_self,svo_13_self,svo_14_self,svo_15_self,svo_1_other,svo_2_other,svo_3_other,svo_4_other,svo_5_other,svo_6_other,svo_7_other,svo_8_other,svo_9_other,svo_10_other,svo_11_other,svo_12_other,svo_13_other,svo_14_other,svo_15_other,svo_angle,svo_category,rme_1,rme_2,rme_3,rme_4,rme_5,rme_6,rme_7,rme_8,rme_9,rme_10,rme_11,rme_12,rme_13,rme_14,rme_15,rme_16,rme_17,rme_18,rme_19,rme_20,rme_21,rme_22,rme_23,rme_24,rme_25,rme_26,rme_27,rme_28,rme_29,rme_30,rme_31,rme_32,rme_33,rme_34,rme_35,rme_36,score_rme
1001,1,swarm,Alligators,jasonbourne,65+,f,1,Math,scientist,0,Italy,14,Canada,1,French,English,German,Spanish,German,French,Spanish,0,1,6,3,2,4,5,3,1,4,2,4,1,4,6,2,5,2,6,4,4,3,2,4,1,2,6,4,4,8,6,3,3,6,3,7,3,7,7,3,5,17,3,1,3,2,3,1,2,3,1,3,3,1,2,2,2,2,8,D,C,D,D,B,D,D,D,C,B,C,A,D,1,C,C,C,B,C,D,D,B,Z,Q,O,Q,O,2,5,5,24,no,5,2,1,30,1,19,47,1,5,7,5,7,1,6,2,2,6,2,6,4,5,3,1,4,4,1,7,5,3,4,4,1,7,3,4,4,4,4,5,3,2,2,4,4,5,5,2,5,3,4,4,3,3.666666667,4,4,2,3,4,3,3,4,5,5,4,6,5,4,5,4.5,5,3.5,4.5,5,2,1,7,5,3,5,3,5,3,1,2,6,6,7,1,5,1,7,4,1,7,1,5,3,5.5,3.333333333,4.666666667,92,5,33,75,54,84,99,47,100,61,90,67,47,29,95,30,7,23,49,36,34,38,87,77,66,72,97,72,8,15,74,58,58,42,87,80,46,88,34,1,31,16,15,16,28,79,prosicial,3,3,1,1,2,1,1,1,1,3,4,3,3,3,1,3,3,2,3,3,3,2,1,2,2,1,2,2,4,3,4,3,3,4,1,4,17
1044,1,swarm,Alligators,expertreasoner,65+,f,6,Math,Teacher,0,Italy,23,USA,0,German,Spanish,Spanish,French,French,Spanish,English,0,0,4,5,1,4,4,5,5,4,6,2,3,4,3,4,1,3,5,3,3,3,3,5,3,4,4,5,8,4,3,2,8,6,3,4,2,5,5,6,2,4,3,1,2,1,1,1,1,1,2,1,1,1,3,2,2,2,12,C,C,B,C,C,B,O,D,A,D,B,C,O,9,D,B,B,A,C,B,Q,C,D,D,Q,O,O,10,5,5,47,no,5,3,3,36,50,17,33,1,4,2,3,5,3,4,4,4,4,7,1,4,5,3,3,6,3.363636364,4,2,4,4,4,4,6,2,1,6,2,2,6,3,5,5,2,7,1,7,2,6,4,4,6,2,6,3.388888889,2,3,3,2,3,3,3,1,4,5,6,5,6,5,5,5,3,4.5,4,5,6,3,5,1,2,6,7,6,2,3,1,7,5,1,7,7,4,4,4,4,4,4,2,6,5.25,5.111111111,3.666666667,56,5,0,59,85,4,70,86,58,64,10,70,94,13,65,89,80,32,68,24,7,75,9,18,74,63,40,58,24,20,64,7,47,93,41,14,50,93,98,10,72,95,78,24,25,59,individualist,2,1,2,2,1,3,3,4,4,1,2,1,4,1,4,4,2,3,4,2,1,4,3,2,2,3,3,1,2,2,2,1,3,2,2,3,25
1048,1,swarm,Alligators,thepinkpanther,25-34,f,2,Math,this could be anything,0,USA,14,Mexico,0,German,Spanish,Spanish,German,Spanish,Spanish,German,1,1,4,4,2,4,3,2,3,4,2,3,2,4,6,4,4,6,4,3,3,8,3,7,7,6,7,5,4,5,2,1,2,3,8,2,7,5,5,5,3,12,2,3,3,1,1,1,3,2,3,2,2,2,1,3,1,3,7,D,C,C,C,B,B,B,C,D,O,A,D,C,4,B,Z,B,C,D,Q,B,Z,O,D,A,Q,C,10,5,5,47,yes,3,3,5,69,4,28,52,2,6,7,6,5,3,4,4,4,4,4,4,5,3,5,5,3,4.727272727,1,1,6,2,4,4,6,2,6,5,3,3,5,2,6,2,3,2,6,6,7,4,6,2,2,6,3,3.722222222,4,2,3,3,7,1,5,2,6,3,4,5,5,1,3,2,3.5,2.5,2.5,5.5,3,6,2,3,3,5,6,6,2,6,3,5,6,5,3,5,4,4,4,2,6,2,4,4,4.25,4.333333333,3.333333333,23,94,57,58,70,40,44,50,48,72,36,31,88,90,4,25,31,38,72,5,28,17,51,97,72,43,7,62,97,21,73,25,4,68,7,14,75,60,85,46,78,26,53,17,48,49,individualist,3,3,3,4,3,1,2,4,3,2,2,2,4,1,3,2,1,3,2,3,1,3,2,3,1,2,4,2,3,2,4,3,2,4,3,2,1
1059,1,swarm,Alligators,jasonbourne,35-44,f,3,computer science,retired,1,Italy,3,Italy,1,Spanish,French,German,Spanish,German,Spanish,English,0,0,5,3,6,2,3,6,6,5,2,5,6,5,3,2,3,4,5,4,4,4,2,4,5,2,6,2,3,6,7,8,6,6,4,7,5,5,5,4,3,13,3,1,3,2,2,2,2,2,2,2,3,1,1,3,2,2,8,C,B,B,C,A,B,A,A,C,O,A,C,C,6,O,O,C,B,D,D,D,O,O,Z,B,A,D,11,5,5,47,no,5,3,5,9,45,38,66,2,6,5,2,7,1,1,7,4,4,5,3,1,6,2,6,1,3.454545455,6,6,1,7,6,2,3,5,6,2,6,4,4,1,7,1,3,7,1,6,6,7,5,3,5,3,3,4.555555556,2,3,6,7,2,4,5,6,5,7,6,2,1,6,3,6.5,4,5,3,3,4,3,5,4,3,5,5,3,5,3,1,7,5,6,2,3,4,4,3,6,2,3,5,3,4,3.888888889,4,58,97,82,7,57,24,91,16,49,89,16,61,83,57,52,85,34,57,26,55,2,15,25,20,58,13,37,73,80,29,38,2,69,15,91,35,25,30,79,37,40,23,79,88,35,85,prosicial,4,2,2,3,2,3,3,2,3,1,1,2,3,2,2,4,3,2,1,2,2,3,4,4,2,2,3,2,3,2,1,3,1,3,3,2,14
1093,1,swarm,Alligators,jasonbourne,65+,f,5,Math,Teacher,0,Mexico,9,Mexico,0,English,French,English,French,French,German,French,1,1,2,5,4,4,6,3,5,5,2,3,3,4,5,4,4,4,4,6,5,5,6,8,8,6,4,6,2,6,7,7,1,7,8,7,3,4,7,3,5,1,3,3,1,2,1,2,1,1,2,3,1,3,3,3,2,2,10,C,C,C,D,A,D,B,B,C,A,A,A,O,8,Z,Z,B,Q,C,Q,Q,C,Z,Z,C,D,C,7,5,5,47,no,5,1,4,17,12,46,18,1,4,2,6,5,3,4,4,1,7,3,5,5,6,2,2,2,3.818181818,1,7,3,5,1,7,4,4,7,7,1,1,7,3,5,7,2,3,5,4,2,6,3,5,1,7,4,4.444444444,7,4,2,4,6,3,2,7,2,1,1,6,4,2,6,1.5,6.5,2,5,3,1,4,4,4,7,1,3,4,4,6,5,3,1,3,5,3,4,4,3,4,4,1,4,4,2.75,3.444444444,3,82,6,6,93,19,79,46,16,48,78,31,50,67,23,78,30,74,22,18,77,76,19,19,89,55,85,13,97,13,64,36,38,4,7,20,88,36,3,10,26,12,32,12,68,71,14,prosicial,4,2,2,1,3,1,3,3,4,1,4,1,4,3,3,1,2,3,3,3,2,3,3,2,3,4,4,4,4,3,3,2,4,3,2,3,22
1099,1,swarm,Alligators,jasonbourne,35-44,m,1,computer science,Teacher,0,USA,5,USA,0,English,Spanish,German,French,French,French,French,1,1,6,5,4,1,2,3,1,1,5,3,6,2,5,3,3,2,2,2,2,8,7,4,3,5,6,3,3,7,3,1,6,4,2,4,4,8,4,8,4,19,3,3,3,2,2,3,2,2,3,2,2,2,1,1,3,2,8,A,O,C,A,O,O,A,D,D,B,B,D,C,12,C,D,C,O,D,Q,A,Q,Q,Q,Q,B,B,8,5,5,47,yes,5,3,1,68,17,25,58,1,4,5,2,3,5,5,3,1,7,4,4,5,5,3,3,4,4.090909091,5,5,7,1,1,7,3,5,4,3,5,6,2,2,6,5,5,3,5,5,6,2,2,6,3,5,7,5,4,4,5,2,6,1,1,3,5,3,4,3,6,2,7,2.5,3,2.5,5.5,5.5,5,6,2,6,4,4,7,2,6,7,4,4,4,5,3,3,3,5,3,5,3,3,6,2,3,4.333333333,5.333333333,68,67,28,70,21,1,23,57,93,8,13,52,43,2,30,65,1,58,69,37,50,54,97,32,20,86,51,59,26,17,18,57,84,44,1,16,81,59,10,63,66,28,94,73,91,46,altruist,1,2,3,3,2,3,1,3,3,3,1,2,2,1,1,2,2,3,2,4,2,4,2,4,1,4,2,4,3,3,2,4,4,3,1,1,17
1106,1,swarm,Alligators,jasonbourne,18-24,f,7,English literature,retired,1,Canada,22,Canada,1,French,Spanish,French,French,French,French,Spanish,0,0,4,5,2,3,4,5,3,5,4,2,2,3,3,1,4,4,2,3,3,1,8,2,1,6,4,8,2,7,2,1,7,3,7,6,4,4,7,7,7,5,2,2,1,1,2,3,2,2,1,2,3,3,2,3,2,2,10,B,D,B,C,B,C,B,B,C,C,C,O,B,4,Q,B,B,A,Q,B,Z,O,Q,Q,O,Z,D,5,5,5,24,yes,5,1,5,84,40,4,44,2,3,2,7,3,5,3,5,5,3,5,3,6,2,6,3,5,4.363636364,6,6,6,2,4,4,7,1,3,3,5,5,3,5,3,5,5,3,5,4,1,4,2,6,6,2,4,3.944444444,4,3,4,4,6,2,2,3,3,1,4,4,4,2,6,1.5,3.5,3,4.5,3.5,2,5,3,4,4,4,4,5,3,2,6,2,4,3,5,2,5,3,2,4,4,1,3,5,2.75,3.333333333,3,65,45,9,66,85,22,22,64,95,94,64,33,66,85,91,35,30,56,26,97,12,76,93,59,46,98,69,47,84,54,38,34,100,26,84,34,37,95,34,25,72,38,33,21,41,42,prosicial,1,1,4,2,1,3,2,3,3,2,2,3,4,1,3,3,3,1,2,2,4,2,1,3,1,3,4,2,3,3,2,3,2,3,3,2,35
1111,1,swarm,Alligators,nyjets,25-34,m,1,Math,Teacher,0,Italy,7,Italy,0,Spanish,French,Spanish,English,German,German,Spanish,1,0,6,2,5,2,1,3,1,4,4,2,5,4,5,6,5,4,2,2,4,8,3,5,5,6,5,7,7,4,3,1,2,6,8,6,1,7,1,4,2,18,1,2,1,2,2,2,2,1,3,3,1,2,2,1,3,2,8,B,O,D,A,O,D,B,C,C,C,A,O,C,4,D,A,B,A,Q,D,O,A,Q,Q,Z,D,B,3,5,5,47,no,5,3,3,70,22,66,71,2,3,3,7,2,6,4,4,2,6,4,4,4,5,3,6,3,4.454545455,6,2,4,4,5,3,5,3,2,1,7,5,3,3,5,6,3,4,4,6,3,5,4,4,3,5,6,4.388888889,6,2,7,3,5,4,6,5,2,1,2,1,5,3,2,2,3,3,2,3.5,1,5,3,3,6,2,2,5,3,7,5,3,3,4,4,3,5,3,2,5,3,2,5,3,2.75,3.222222222,2.333333333,75,74,76,6,17,89,46,37,76,50,84,62,92,98,98,39,6,85,23,51,10,34,6,49,45,35,70,10,37,94,29,6,16,20,43,91,5,54,87,28,93,2,74,10,11,47,competitive,3,4,2,3,4,1,3,1,4,4,4,1,3,1,4,2,2,3,4,3,4,2,4,2,2,2,1,2,1,3,3,1,1,3,1,2,0
1129,1,swarm,Alligators,nyjets,35-44,f,2,psychology,this could be anything,1,USA,9,USA,0,Spanish,German,French,French,Spanish,Spanish,English,0,1,1,2,5,2,3,4,4,4,6,2,2,4,2,3,3,3,6,2,2,5,2,2,4,6,3,6,6,3,3,7,8,4,3,4,2,6,2,3,3,16,2,2,2,1,2,3,2,1,3,3,2,1,3,3,2,3,4,O,B,A,B,B,B,B,B,D,O,O,C,D,11,B,O,D,D,C,C,D,D,D,Q,D,C,Q,9,5,5,47,no,5,1,4,18,41,16,55,2,2,6,5,4,4,2,6,3,5,1,7,3,7,1,7,2,4.363636364,5,6,1,7,2,6,4,4,5,6,2,2,6,2,6,1,3,5,3,4,6,5,2,6,4,4,5,4.444444444,4,5,7,4,5,5,4,6,7,2,4,1,4,3,4,2.5,3.5,4.5,4.5,5.5,4,6,2,6,4,4,6,7,1,2,5,3,1,5,3,4,6,2,4,5,3,2,2,6,2.75,3.333333333,4,42,37,42,95,60,10,44,70,33,12,81,62,2,51,60,21,25,62,92,60,31,73,70,52,6,7,58,43,17,73,83,22,38,0,47,13,74,58,31,23,76,98,0,40,83,87,prosicial,2,2,1,1,2,3,2,3,3,2,3,4,4,1,3,4,2,2,4,3,3,3,3,1,2,3,3,1,3,4,3,3,2,1,1,2,30
1137,1,swarm,Alligators,nyjets,25-34,m,2,Math,a programmer,1,Italy,10,Mexico,1,Spanish,English,Spanish,French,French,French,German,1,1,3,6,5,4,5,6,4,2,1,6,5,2,6,3,2,2,4,2,4,2,6,1,3,3,6,1,6,5,2,8,1,6,5,4,6,7,2,4,2,4,2,3,2,2,1,2,1,2,2,2,3,1,3,2,2,2,9,O,D,A,O,C,C,D,B,C,B,C,B,B,1,C,O,B,D,Z,D,B,D,C,Q,C,C,Z,1,5,5,47,no,5,3,3,76,25,31,49,4,4,4,7,4,4,2,6,1,7,2,6,5,5,3,3,2,4.636363636,5,3,3,5,3,5,5,3,7,6,2,5,3,4,4,6,6,1,7,2,2,7,4,4,6,2,2,4.277777778,7,2,5,5,6,7,3,5,3,3,1,3,3,2,5,2.5,4,4,3.5,3,7,3,5,7,3,5,2,4,4,1,2,6,3,1,7,6,4,4,6,3,5,5,5,3,5,4.222222222,6,75,75,20,77,52,16,5,59,86,86,12,42,10,99,1,18,54,84,94,51,45,14,62,13,2,77,83,59,78,15,25,59,77,22,24,45,61,18,63,72,34,47,12,62,41,3,competitive,3,3,4,1,3,3,1,2,3,4,1,2,3,4,2,2,2,4,2,3,1,2,3,2,1,2,3,1,3,1,1,1,2,1,1,1,3
